Age Group,Light Condition Desc,ACCIDENT_NO
22-25,Day,32005037401
22-25,Day,42005022146
22-25,Dusk/Dawn,42005009637
22-25,Dark Street lights on,42005010198
22-25,Dark Street lights on,42005033237
22-25,Dark Street lights on,42005015609
22-25,Dark Street lights on,42005010737
22-25,Dark Street lights on,42005023669
22-25,Dark No street lights,32005001549
22-25,Day,52005030237
50-59,Dark Street lights on,32005031767
50-59,Day,42005033095
50-59,Day,52005028907
50-59,Dark No street lights,52005015817
50-59,Dark No street lights,52005034562
50-59,Dark No street lights,52005036222
50-59,Day,52005006885
50-59,Dusk/Dawn,42005019165
50-59,Day,32005031157
50-59,Dark No street lights,32005005234
50-59,Dark No street lights,52005023919
60-64,Day,42005014316
60-64,Day,52005005727
60-64,Day,32005006132
60-64,Day,32005028431
60-64,Day,32005041557
30-39,Day,12005034758
40-49,Day,12005008868
40-49,Day,12005040961
40-49,Day,22005028791
40-49,Day,12005035389
50-59,Dusk/Dawn,12005024003
50-59,Day,12005038448
60-64,Dark Street lights on,12005021963
64-69,Day,22005022527
26-29,Dark Street lights on,22005019790
30-39,Dark Street lights on,22005023571
40-49,Day,22005012930
50-59,Day,22005038007
17-21,Dusk/Dawn,22005017520
17-21,Dark No street lights,22005014902
17-21,Dark Street lights on,12005001606
17-21,Dark No street lights,52005015053
50-59,Dark No street lights,42005020835
50-59,Day,42005004769
17-21,Day,32005016839
50-59,Day,32005041946
26-29,Day,52005011748
17-21,Day,52005017495
22-25,Unknown,32005040880
70+,Day,52005032290
40-49,Dark Street lights on,32005023494
30-39,Dusk/Dawn,52005037521
16-17,Day,52005032290
16-17,Day,52005003024
40-49,Day,52005004422
50-59,Day,52005020662
60-64,Dark Street lights unknown,52005020517
70+,Day,42005020654
16-17,Day,32005011255
26-29,Day,32005005650
30-39,Day,42005015809
5-12,Day,42005013167
50-59,Dusk/Dawn,52005032514
50-59,Dusk/Dawn,42005017367
40-49,Day,32005016145
5-12,Dusk/Dawn,52005003740
5-12,Day,42005016671
22-25,Dark No street lights,42005017226
60-64,Day,32005012401
17-21,Day,42005018319
50-59,Dark No street lights,52005018020
40-49,Dark No street lights,42005010368
30-39,Dark Street lights unknown,32005003745
70+,Day,12005020917
70+,Day,22005012794
70+,Day,12005003446
70+,Day,12005040091
70+,Dusk/Dawn,22005021626
50-59,Day,22005004504
13-15,Dusk/Dawn,22005039022
16-17,Dark Street lights on,12005001743
17-21,Dark Street lights on,42005002455
17-21,Day,52005003412
17-21,Dark Street lights on,52005011790
17-21,Day,52005043037
17-21,Dark No street lights,32005006672
17-21,Dark Street lights on,52005032756
22-25,Dark Street lights on,42005023623
22-25,Dark Street lights on,42005024642
22-25,Day,32005029332
22-25,Day,32005041584
22-25,Day,42005027232
22-25,Dark No street lights,52005010241
22-25,Dark Street lights on,32005028167
22-25,Dark No street lights,52005009829
22-25,Day,52005021519
22-25,Day,52005027821
26-29,Day,32005008444
26-29,Day,42005032102
26-29,Day,32005031157
26-29,Day,52005026788
26-29,Dark Street lights on,32005026615
26-29,Dusk/Dawn,42005027142
26-29,Day,52005014493
30-39,Dark No street lights,32005039064
30-39,Dark Street lights on,42005004533
30-39,Dark Street lights on,52005011000
30-39,Day,42005028262
30-39,Dark Street lights on,52005020406
30-39,Day,32005018945
40-49,Day,32005042366
40-49,Day,52005041304
40-49,Dark No street lights,32005022419
40-49,Dusk/Dawn,52005037313
40-49,Day,42005029779
40-49,Day,52005019379
40-49,Day,52005022456
40-49,Dark No street lights,42005024948
40-49,Day,52005040264
40-49,Day,32005040232
5-12,Day,42005010427
5-12,Day,52005013538
5-12,Day,32005011950
5-12,Day,32005028617
5-12,Dusk/Dawn,52005016471
5-12,Dark No street lights,52005021192
5-12,Day,52005034792
5-12,Day,42005029775
30-39,Day,12005020898
