Age Group,Light Condition Desc,ACCIDENT_NO
17-21,Dark Street lights on,52005037582
17-21,Dark Street lights on,42005018295
17-21,Dark Street lights on,42005029902
22-25,Dusk/Dawn,32005015192
22-25,Dark Street lights on,52005012558
22-25,Day,32005037233
30-39,Day,32005042015
50-59,Day,32005041390
unknown,Day,52005011512
13-15,Day,32005023407
17-21,Day,52005008463
26-29,Day,42005021067
30-39,Dark Street lights on,52005016726
30-39,Dark Street lights on,52005015062
5-12,Dark No street lights,52005014358
5-12,Dark Street lights on,42005011334
70+,Dusk/Dawn,32005041360
unknown,Dark Street lights on,32005037520
22-25,Dusk/Dawn,52005010951
17-21,Dark Street lights on,42005028874
17-21,Day,52005020251
22-25,Dark Street lights on,32005027482
22-25,Dark Street lights on,32005009213
26-29,Dark Street lights on,42005027682
30-39,Dark Street lights on,42005022809
13-15,Dusk/Dawn,52005002651
16-17,Dark Street lights on,52005039583
0-4,Day,52005035388
0-4,Day,32005008058
0-4,Day,52005028031
30-39,Dark No street lights,32005034919
30-39,Dark No street lights,32005034919
17-21,Dark Street lights on,52005016717
unknown,Day,52005005036
5-12,Dark Street lights on,32005028462
16-17,Dark Street lights off,32005019959
16-17,Dark No street lights,52005033560
16-17,Dark Street lights on,52005034391
16-17,Day,52005012185
17-21,Day,52005011362
17-21,Dark Street lights on,42005032621
17-21,Day,52005014818
22-25,Dark No street lights,32005038099
22-25,Dark Street lights on,42005010170
22-25,Dark Street lights on,42005005562
26-29,Dusk/Dawn,52005004483
26-29,Unknown,32005040880
26-29,Day,42005022113
26-29,Dark Street lights on,52005032467
30-39,Dusk/Dawn,52005034212
30-39,Dark No street lights,32005042973
30-39,Dark Street lights on,52005003572
30-39,Dark Street lights on,52005019021
30-39,Dark Street lights on,52005037321
30-39,Day,32005017819
40-49,Dark No street lights,42005007655
50-59,Dark Street lights on,42005028219
60-64,Day,42005001853
70+,Day,52005014244
70+,Dark Street lights on,32005018816
unknown,Dark Street lights on,52005027528
22-25,Day,32005002822
22-25,Dark Street lights on,52005006990
26-29,Dark Street lights on,32005041697
30-39,Dusk/Dawn,52005026846
40-49,Dark Street lights on,52005001612
5-12,Day,32005013051
unknown,Dark Street lights on,32005025202
26-29,Dark Street lights on,42005034067
13-15,Day,32005002390
17-21,Dark No street lights,42005018484
17-21,Dark Street lights on,52005016717
30-39,Day,32005007781
40-49,Day,52005014818
13-15,Dark No street lights,52005042682
16-17,Dark No street lights,52005042682
30-39,Dark Street lights off,52005017852
40-49,Day,32005030041
17-21,Dark Street lights on,42005032209
0-4,Day,32005033227
0-4,Day,52005025970
0-4,Day,42005010171
13-15,Dark No street lights,32005026624
13-15,Day,42005032052
13-15,Day,32005028391
13-15,Day,32005007458
16-17,Dark Street lights on,52005027402
16-17,Dusk/Dawn,42005015941
16-17,Dark No street lights,42005001336
16-17,Day,52005021701
16-17,Dark Street lights on,42005012484
16-17,Day,52005041481
17-21,Day,52005015663
17-21,Day,32005029893
17-21,Dark Street lights unknown,52005017699
17-21,Day,32005039038
17-21,Dark Street lights on,42005033686
17-21,Dark Street lights on,32005033478
17-21,Dark Street lights on,42005033071
17-21,Dark Street lights on,32005018789
17-21,Dark Street lights on,42005008470
17-21,Dark Street lights on,42005021077
22-25,Day,32005018467
22-25,Dark Street lights unknown,42005022307
22-25,Day,52005003304
22-25,Dark Street lights on,32005004916
22-25,Dark Street lights on,42005021077
22-25,Dark Street lights on,32005033202
22-25,Day,32005011216
26-29,Day,32005007473
26-29,Dark Street lights unknown,42005016313
26-29,Day,32005023595
26-29,Day,32005041267
30-39,Day,32005037243
30-39,Day,32005029134
30-39,Day,42005006185
30-39,Dark Street lights on,32005028229
30-39,Day,32005038304
30-39,Dusk/Dawn,52005036844
30-39,Dark Street lights on,42005021108
30-39,Dark Street lights on,52005020395
40-49,Dark Street lights on,32005039296
40-49,Day,52005023940
40-49,Day,52005031870
40-49,Dusk/Dawn,52005017537
40-49,Dark Street lights on,42005024070
40-49,Day,32005003514
40-49,Day,42005033248
40-49,Dark Street lights on,42005025161
40-49,Day,32005039458
40-49,Day,42005017645
40-49,Dark Street lights on,42005027971
40-49,Dark Street lights on,42005032629
5-12,Day,32005011233
5-12,Day,32005015565
5-12,Day,42005021470
5-12,Day,32005032200
5-12,Day,32005008042
5-12,Dusk/Dawn,42005016394
50-59,Dark Street lights on,32005029325
50-59,Day,52005035942
50-59,Dusk/Dawn,42005024352
50-59,Dark Street lights on,42005026761
50-59,Unknown,32005003925
50-59,Dark Street lights on,32005030920
50-59,Dark Street lights on,52005027862
50-59,Dark Street lights on,32005014593
60-64,Dark Street lights on,32005036167
60-64,Day,32005028633
64-69,Day,32005038284
64-69,Dark Street lights on,42005027229
64-69,Day,52005027013
70+,Dusk/Dawn,32005038690
70+,Dark Street lights on,32005018647
70+,Dusk/Dawn,32005017047
70+,Dark Street lights on,42005020354
70+,Day,52005027504
70+,Day,32005035270
70+,Day,52005025827
70+,Day,32005020167
70+,Day,32005003659
70+,Day,32005012990
70+,Day,52005006765
70+,Day,42005027799
70+,Dark Street lights on,42005019486
70+,Day,42005029218
70+,Day,32005020461
70+,Day,32005037875
70+,Dark Street lights on,42005029765
70+,Day,42005017589
70+,Day,42005030057
0-4,Day,52005003193
13-15,Dark Street lights on,52005013206
17-21,Dark Street lights unknown,52005031647
17-21,Dark Street lights on,32005030448
22-25,Dark No street lights,52005018344
26-29,Dark Street lights on,32005033646
26-29,Dark Street lights on,42005032739
26-29,Dark No street lights,52005019352
26-29,Day,52005008771
30-39,Dark No street lights,42005020511
30-39,Dark Street lights on,32005033026
5-12,Day,52005009783
5-12,Dark No street lights,32005016638
5-12,Day,52005033424
5-12,Dusk/Dawn,32005035282
50-59,Dark Street lights on,52005026370
60-64,Dusk/Dawn,32005022076
70+,Day,42005009898
5-12,Day,32005036105
5-12,Day,32005042537
5-12,Dark Street lights on,52005020355
50-59,Dark No street lights,32005040178
50-59,Day,42005019515
50-59,Day,32005027038
60-64,Dark No street lights,52005001413
64-69,Day,32005038522
64-69,Day,42005009995
64-69,Day,32005012827
64-69,Dark No street lights,52005022151
70+,Day,32005006384
70+,Day,42005002688
70+,Day,32005030911
unknown,Day,52005009241
unknown,Dark Street lights on,52005031918
13-15,Day,32005008429
13-15,Day,42005021467
16-17,Day,52005003539
16-17,Day,42005032438
16-17,Dark Street lights on,42005029919
17-21,Dusk/Dawn,32005035087
17-21,Dusk/Dawn,42005023259
17-21,Dusk/Dawn,52005033362
17-21,Day,32005016839
17-21,Day,52005042695
17-21,Dark Street lights on,42005019351
17-21,Dark Street lights on,42005024592
17-21,Day,52005041617
17-21,Day,42005002585
17-21,Dark Street lights on,32005034374
17-21,Day,32005026041
22-25,Day,42005020217
22-25,Day,52005004154
22-25,Dark Street lights on,42005012292
22-25,Dark No street lights,42005012671
22-25,Dusk/Dawn,52005037102
22-25,Day,52005035125
26-29,Dark Street lights on,42005023006
26-29,Day,42005001742
30-39,Day,32005008425
30-39,Dusk/Dawn,52005014873
30-39,Dark Street lights on,42005013135
30-39,Dark Street lights on,52005019940
40-49,Dusk/Dawn,42005029968
40-49,Day,32005036418
40-49,Dark Street lights on,52005029263
40-49,Day,42005015825
40-49,Dusk/Dawn,52005037975
5-12,Dusk/Dawn,52005038484
5-12,Day,42005028322
5-12,Dusk/Dawn,52005003265
5-12,Day,32005004282
5-12,Day,42005020001
5-12,Dark Street lights on,52005019807
5-12,Day,32005007613
5-12,Day,42005025312
5-12,Day,42005008947
50-59,Dusk/Dawn,42005023800
50-59,Day,42005030431
64-69,Dark Street lights on,32005011482
70+,Day,52005013695
70+,Day,32005005243
70+,Day,52005030015
unknown,Day,32005004334
unknown,Dark Street lights on,32005008454
unknown,Dusk/Dawn,32005040612
unknown,Dusk/Dawn,42005026291
unknown,Day,42005024928
16-17,Day,52005011348
22-25,Day,52005037438
50-59,Day,52005035125
0-4,Day,52005023136
0-4,Dark Street lights on,52005042311
13-15,Dark Street lights on,42005030769
13-15,Day,52005004991
16-17,Dark Street lights on,42005002690
16-17,Dark No street lights,32005025376
17-21,Dark Street lights on,52005026008
17-21,Dark Street lights on,32005010311
17-21,Dark Street lights on,32005029030
17-21,Dark Street lights unknown,32005011231
17-21,Day,32005037561
17-21,Dark Street lights on,42005016001
22-25,Day,52005042558
22-25,Dark Street lights on,32005036823
22-25,Day,52005040995
22-25,Dark Street lights on,42005010181
30-39,Day,42005015216
30-39,Dusk/Dawn,32005015192
40-49,Day,32005034614
5-12,Day,42005026288
5-12,Day,42005002029
5-12,Dusk/Dawn,52005022851
64-69,Day,42005021467
64-69,Day,32005012827
unknown,Dark Street lights on,42005005824
0-4,Dark No street lights,32005028306
0-4,Day,32005012036
0-4,Day,32005002939
0-4,Day,52005023509
16-17,Dark Street lights on,32005034374
17-21,Dark Street lights on,42005033694
22-25,Day,42005006444
22-25,Dusk/Dawn,32005004320
22-25,Day,32005008255
22-25,Day,32005010599
30-39,Day,52005042082
40-49,Day,52005007028
5-12,Day,52005001444
5-12,Day,32005025653
5-12,Day,42005021467
5-12,Day,52005003005
5-12,Day,52005011582
5-12,Dark Street lights on,42005013142
5-12,Day,52005014818
30-39,Day,52005035125
17-21,Dark Street lights on,32005040899
17-21,Dark Street lights on,42005002455
5-12,Day,42005020509
unknown,Day,42005032075
unknown,Day,52005029400
13-15,Day,32005013472
16-17,Day,32005013472
17-21,Day,42005002387
17-21,Day,52005016883
17-21,Day,42005002387
5-12,Dark Street lights on,52005024786
26-29,Day,32005026674
5-12,Day,42005031606
unknown,Day,52005012997
17-21,Dark Street lights on,42005002455
0-4,Day,52005029276
16-17,Dark Street lights on,32005040545
16-17,Dark No street lights,42005034048
16-17,Dark No street lights,52005019680
17-21,Dusk/Dawn,42005017602
17-21,Dark Street lights on,52005018317
17-21,Dark Street lights on,52005030147
17-21,Dark No street lights,32005025376
22-25,Dusk/Dawn,42005030481
26-29,Dark Street lights on,52005004997
30-39,Dark No street lights,52005032767
5-12,Day,52005023136
5-12,Dusk/Dawn,52005022851
5-12,Day,42005026288
5-12,Dark Street lights on,42005030644
5-12,Dusk/Dawn,32005028319
5-12,Dark Street lights on,52005042311
5-12,Dark No street lights,52005007078
70+,Day,52005004637
unknown,Day,52005005861
0-4,Day,32005015164
0-4,Dusk/Dawn,42005004578
0-4,Day,42005021489
0-4,Dark No street lights,52005020203
13-15,Dark Street lights on,32005030776
13-15,Day,52005010807
16-17,Dark Street lights on,32005034374
16-17,Dark Street lights on,42005029919
17-21,Day,42005028503
17-21,Dusk/Dawn,32005004320
30-39,Day,42005006203
5-12,Dusk/Dawn,32005013076
5-12,Day,32005015956
5-12,Day,52005023904
5-12,Day,52005011034
5-12,Day,52005003005
5-12,Day,32005007613
5-12,Day,42005029906
22-25,Dusk/Dawn,52005037521
unknown,Dark Street lights on,52005007395
13-15,Day,52005038395
22-25,Dark Street lights on,32005027125
26-29,Dark Street lights on,32005031760
30-39,Day,42005028018
30-39,Day,52005041922
30-39,Day,32005038068
17-21,Dark No street lights,52005004801
22-25,Dark Street lights on,52005018723
17-21,Dark No street lights,52005004801
0-4,Day,52005030237
0-4,Day,52005041413
0-4,Day,52005032268
17-21,Dark No street lights,52005026538
16-17,Day,32005031394
30-39,Day,42005031599
unknown,Dark No street lights,52005026538
16-17,Day,32005031394
5-12,Day,32005031394
16-17,Dark Street lights on,42005006722
0-4,Dusk/Dawn,32005042190
5-12,Dusk/Dawn,32005042190
16-17,Dark No street lights,52005008122
22-25,Dark Street lights on,52005031691
22-25,Dusk/Dawn,32005041628
30-39,Dark Street lights on,42005012477
40-49,Dark No street lights,52005015337
40-49,Dark Street lights on,42005017644
40-49,Day,52005014552
13-15,Dusk/Dawn,42005015270
40-49,Day,52005016381
40-49,Day,32005009410
60-64,Day,42005007233
16-17,Day,32005018809
17-21,Day,32005016255
17-21,Day,32005027321
17-21,Dark Street lights off,52005026064
16-17,Day,32005018809
17-21,Day,52005042558
26-29,Day,32005011718
26-29,Day,42005028865
64-69,Dark No street lights,52005008122
50-59,Day,42005002434
17-21,Dark No street lights,52005030707
30-39,Dark No street lights,52005015337
70+,Dark No street lights,52005008119
30-39,Day,32005033209
0-4,Day,52005023135
13-15,Day,32005031298
13-15,Day,42005021886
13-15,Day,32005022729
16-17,Day,42005006689
16-17,Dark Street lights on,42005025917
16-17,Day,52005039872
17-21,Dark Street lights on,32005010091
17-21,Day,32005035567
17-21,Day,32005005104
17-21,Day,32005041699
22-25,Day,42005010746
22-25,Dark Street lights on,42005027994
30-39,Dusk/Dawn,42005024402
30-39,Day,52005014054
30-39,Dark Street lights on,32005026239
30-39,Dark Street lights on,32005041983
30-39,Day,42005006546
30-39,Day,32005028501
30-39,Day,32005033046
40-49,Day,42005027788
40-49,Dark Street lights on,52005034162
40-49,Day,32005037804
40-49,Dusk/Dawn,42005025126
40-49,Dark Street lights on,32005035267
40-49,Dark No street lights,42005034096
40-49,Day,52005005870
5-12,Day,52005029787
5-12,Dusk/Dawn,52005034433
5-12,Day,52005022162
5-12,Day,42005022304
5-12,Day,52005032085
5-12,Day,52005041654
5-12,Day,32005002013
5-12,Day,52005016898
50-59,Dark Street lights on,32005027297
50-59,Day,52005042222
60-64,Day,52005019535
60-64,Day,32005014219
64-69,Day,52005028025
64-69,Dusk/Dawn,32005021441
70+,Day,32005021656
70+,Day,32005036111
70+,Day,42005022457
70+,Day,32005023628
70+,Day,42005023652
70+,Day,32005040216
70+,Day,32005006389
70+,Dark Street lights on,42005024072
70+,Day,52005013608
unknown,Day,32005018047
17-21,Day,32005041582
17-21,Dark Street lights on,32005030468
26-29,Dusk/Dawn,42005003540
40-49,Dark Street lights on,42005029822
40-49,Day,52005004992
5-12,Dusk/Dawn,52005035635
50-59,Day,32005025773
50-59,Day,32005035833
22-25,Dark Street lights on,52005027494
40-49,Dark Street lights on,42005027393
50-59,Dark Street lights on,32005022081
70+,Day,52005031433
13-15,Day,32005039937
70+,Day,32005027620
17-21,Dark No street lights,42005025789
60-64,Day,32005027980
40-49,Day,52005003951
unknown,Dark Street lights on,32005028628
13-15,Day,32005030587
22-25,Day,52005042032
22-25,Dusk/Dawn,32005008741
26-29,Day,52005039590
40-49,Day,32005008688
50-59,Day,52005035814
16-17,Dark No street lights,52005038599
22-25,Dark Street lights on,32005018256
40-49,Dusk/Dawn,32005015365
13-15,Day,32005037584
13-15,Day,32005009371
26-29,Day,52005028054
30-39,Day,52005009665
30-39,Dark Street lights on,42005030429
30-39,Day,32005014433
40-49,Day,32005015424
5-12,Day,52005030833
50-59,Day,32005029224
50-59,Day,52005009246
5-12,Dark Street lights on,32005037293
16-17,Day,32005042983
16-17,Day,32005009387
17-21,Day,32005017560
22-25,Day,32005038498
26-29,Day,32005013635
26-29,Dusk/Dawn,52005036257
26-29,Dusk/Dawn,52005007932
26-29,Day,52005012908
26-29,Dark Street lights on,52005011590
30-39,Dusk/Dawn,32005039284
30-39,Dark Street lights on,42005028364
30-39,Dark Street lights on,32005011662
30-39,Day,42005018522
30-39,Dusk/Dawn,32005023855
40-49,Day,32005019641
40-49,Dark Street lights on,42005026794
40-49,Day,52005016031
5-12,Day,52005031446
50-59,Dark Street lights on,42005021326
64-69,Day,52005040702
13-15,Day,52005037746
13-15,Day,32005034887
13-15,Day,42005020391
17-21,Dark Street lights on,42005007635
17-21,Dusk/Dawn,32005034891
5-12,Day,52005012621
5-12,Day,52005038181
5-12,Day,52005005283
13-15,Dark Street lights on,32005036710
13-15,Day,42005011735
30-39,Day,32005006155
5-12,Day,32005034073
13-15,Day,42005021796
16-17,Day,32005018431
17-21,Day,42005002852
17-21,Day,32005019141
50-59,Dusk/Dawn,32005024257
60-64,Day,32005011249
40-49,Day,52005002621
40-49,Day,52005038165
22-25,Day,52005034556
17-21,Day,32005030618
17-21,Dark No street lights,42005033896
17-21,Dusk/Dawn,42005032309
17-21,Dark Street lights on,52005036461
17-21,Dark Street lights on,32005025595
17-21,Day,42005030384
17-21,Day,32005032593
17-21,Dark Street lights on,32005027098
17-21,Dark Street lights on,32005037330
22-25,Dusk/Dawn,32005036368
22-25,Day,52005012588
22-25,Dark Street lights on,52005013330
22-25,Day,32005031202
22-25,Day,52005040364
22-25,Day,32005030631
22-25,Day,42005016887
22-25,Dark Street lights on,42005023639
26-29,Dark Street lights on,42005033500
26-29,Day,42005007785
26-29,Day,32005014579
26-29,Dusk/Dawn,32005011251
26-29,Day,52005023783
26-29,Dark Street lights on,32005017144
26-29,Day,52005028872
26-29,Day,32005021655
26-29,Dusk/Dawn,52005032768
26-29,Day,52005021527
30-39,Day,32005018438
30-39,Day,42005024559
30-39,Dark Street lights on,32005038542
30-39,Day,42005022132
30-39,Dusk/Dawn,32005023855
30-39,Day,42005017617
30-39,Day,42005012304
30-39,Day,52005007688
30-39,Day,52005035617
30-39,Day,52005005143
30-39,Day,42005023261
30-39,Day,32005008067
30-39,Day,42005013158
30-39,Day,42005011264
30-39,Day,52005017422
30-39,Day,32005031588
30-39,Day,42005007730
30-39,Day,42005007664
30-39,Day,32005038054
30-39,Day,42005008698
30-39,Day,52005007276
30-39,Day,52005033935
30-39,Day,42005010216
30-39,Day,52005035309
40-49,Day,52005008359
40-49,Day,52005038159
40-49,Day,52005042588
40-49,Day,42005027804
40-49,Day,32005016618
40-49,Day,52005034578
40-49,Day,42005011472
40-49,Day,32005038500
40-49,Day,42005011782
40-49,Day,42005007554
40-49,Day,52005032459
40-49,Dark Street lights on,42005019681
40-49,Dusk/Dawn,42005003254
40-49,Day,52005035634
40-49,Day,42005025247
50-59,Day,52005036501
50-59,Day,52005008572
50-59,Day,42005013132
50-59,Day,42005010913
16-17,Day,32005011877
17-21,Dark Street lights on,52005029641
22-25,Day,32005011200
22-25,Day,42005030793
22-25,Day,42005006992
22-25,Day,52005028553
22-25,Day,52005002116
26-29,Day,42005023264
26-29,Day,32005038516
26-29,Day,32005023626
30-39,Dusk/Dawn,32005034957
30-39,Day,32005034955
30-39,Day,52005018567
40-49,Day,32005024106
40-49,Day,52005012621
50-59,Dark Street lights on,42005026980
30-39,Day,42005008930
30-39,Day,52005014038
17-21,Day,52005035312
26-29,Day,52005037725
30-39,Day,42005009810
40-49,Day,32005011469
17-21,Day,52005033421
17-21,Day,52005006419
17-21,Dusk/Dawn,32005014560
22-25,Day,52005021361
22-25,Day,42005023019
22-25,Day,52005009617
26-29,Day,52005022161
26-29,Day,42005008341
26-29,Dark No street lights,42005002836
26-29,Day,52005023939
30-39,Dusk/Dawn,32005034867
30-39,Day,52005024939
30-39,Dark Street lights on,42005022144
30-39,Dusk/Dawn,32005009158
30-39,Dark Street lights on,42005026600
30-39,Day,52005043065
30-39,Day,52005038185
30-39,Day,52005010629
30-39,Day,52005031912
40-49,Dusk/Dawn,42005026348
40-49,Day,32005018473
40-49,Day,32005033790
40-49,Day,32005041501
40-49,Day,52005031290
40-49,Dusk/Dawn,32005040943
40-49,Day,32005039401
40-49,Day,42005029782
40-49,Day,42005031457
50-59,Day,52005033144
30-39,Dusk/Dawn,52005009206
17-21,Day,42005008308
26-29,Day,32005041308
60-64,Dusk/Dawn,52005006548
17-21,Dark Street lights on,32005030913
17-21,Dark Street lights on,52005035428
22-25,Day,42005031183
30-39,Day,52005036611
30-39,Day,52005032150
30-39,Day,32005006373
30-39,Dusk/Dawn,42005027394
30-39,Day,32005029548
40-49,Day,32005043021
40-49,Day,52005033103
50-59,Dark Street lights on,32005030610
17-21,Dark Street lights on,42005017897
22-25,Dark No street lights,52005011789
17-21,Dark No street lights,42005010126
13-15,Day,32005012655
13-15,Day,52005022452
16-17,Dark Street lights on,52005016021
30-39,Day,42005007002
5-12,Day,32005014425
17-21,Dark No street lights,52005004801
30-39,Dark Street lights off,52005037741
17-21,Dark Street lights unknown,32005041525
26-29,Dark No street lights,52005029623
26-29,Day,42005013321
30-39,Day,42005011746
30-39,Day,42005017011
30-39,Day,32005002824
40-49,Dark No street lights,42005029927
30-39,Day,42005023487
22-25,Day,42005003213
26-29,Dark Street lights on,32005025484
26-29,Dusk/Dawn,42005022111
22-25,Day,42005001898
30-39,Dark Street lights on,32005015736
17-21,Dark Street lights on,52005018317
17-21,Dark Street lights on,32005021649
17-21,Dark Street lights on,32005023132
17-21,Dark Street lights on,42005016148
17-21,Day,42005031450
17-21,Day,52005025028
17-21,Dark Street lights off,52005023298
17-21,Day,32005013064
17-21,Dusk/Dawn,32005010778
17-21,Day,52005011314
17-21,Dark Street lights unknown,52005019000
17-21,Day,42005024990
17-21,Dusk/Dawn,42005029968
17-21,Dusk/Dawn,42005018506
17-21,Dark Street lights on,52005017694
17-21,Dusk/Dawn,52005018210
17-21,Day,32005038679
17-21,Day,32005041868
17-21,Day,52005003530
17-21,Dusk/Dawn,32005035282
17-21,Dark No street lights,52005022170
17-21,Dark Street lights on,42005014214
17-21,Day,32005007128
17-21,Day,52005013345
17-21,Day,52005014513
22-25,Dark Street lights on,32005033646
22-25,Day,42005004800
22-25,Day,42005015439
22-25,Dark Street lights on,42005024232
22-25,Dusk/Dawn,52005017189
22-25,Day,32005039266
22-25,Day,42005003688
22-25,Dark Street lights on,42005028331
22-25,Day,52005003412
22-25,Dark No street lights,52005017175
22-25,Day,32005006314
22-25,Day,42005029368
22-25,Dusk/Dawn,32005033055
22-25,Dark Street lights on,42005004576
22-25,Dark Street lights on,52005007261
22-25,Dark Street lights on,52005037469
26-29,Day,32005002797
26-29,Day,32005005050
26-29,Day,42005030651
26-29,Day,52005007043
26-29,Day,42005005674
26-29,Day,42005017334
26-29,Day,42005006982
26-29,Day,42005012857
26-29,Day,42005011119
26-29,Dark Street lights on,52005005279
26-29,Dusk/Dawn,32005023224
26-29,Dusk/Dawn,42005020826
30-39,Day,42005002576
30-39,Dark Street lights on,52005017707
30-39,Dark Street lights on,32005030610
30-39,Dusk/Dawn,32005027150
30-39,Day,52005012911
30-39,Day,32005018047
30-39,Day,42005006973
30-39,Day,32005026502
30-39,Day,42005028322
30-39,Dusk/Dawn,42005025845
30-39,Dark Street lights on,52005035969
30-39,Dark Street lights on,42005024592
30-39,Dusk/Dawn,42005016317
30-39,Dark Street lights on,32005030356
30-39,Dark Street lights on,42005004593
30-39,Day,52005023786
30-39,Day,42005010284
30-39,Day,32005005104
30-39,Day,42005026639
30-39,Dark Street lights on,42005014480
30-39,Day,42005007855
30-39,Day,52005028946
40-49,Day,32005011718
40-49,Day,32005026674
40-49,Day,52005011348
40-49,Dark Street lights on,42005029955
40-49,Dusk/Dawn,42005021780
40-49,Day,32005013633
40-49,Day,42005022424
40-49,Day,32005008706
40-49,Dark Street lights on,42005028364
40-49,Day,42005004383
40-49,Day,32005015902
40-49,Day,32005004724
40-49,Day,52005028922
40-49,Day,32005005646
50-59,Day,32005012824
50-59,Dusk/Dawn,42005001851
50-59,Dark Street lights on,52005033883
50-59,Dark Street lights on,52005029641
50-59,Day,52005036920
50-59,Day,52005017697
50-59,Day,32005011226
50-59,Day,42005022973
50-59,Day,52005008771
50-59,Day,52005029624
50-59,Day,42005005669
50-59,Day,32005013635
50-59,Day,42005009035
50-59,Day,32005005033
50-59,Day,52005032686
50-59,Day,32005041968
60-64,Day,52005015864
60-64,Day,52005003288
60-64,Day,42005029999
64-69,Day,42005008467
70+,Day,32005038698
70+,Day,42005025084
40-49,Day,52005023136
50-59,Day,42005015439
17-21,Dark Street lights on,42005024592
17-21,Dusk/Dawn,52005014840
17-21,Day,32005008045
17-21,Dusk/Dawn,52005038484
17-21,Dark Street lights on,42005024232
17-21,Day,42005029908
17-21,Day,32005040088
17-21,Dark Street lights off,32005001823
17-21,Day,52005003426
22-25,Dark Street lights on,42005033674
22-25,Day,32005012412
22-25,Dark Street lights on,32005013457
22-25,Day,42005031211
22-25,Day,42005022439
22-25,Dark Street lights on,32005027609
22-25,Dusk/Dawn,32005015192
22-25,Dark Street lights on,42005017033
22-25,Dark Street lights on,42005029971
22-25,Day,52005019001
26-29,Day,32005014644
26-29,Day,52005013345
30-39,Day,42005029945
30-39,Day,42005002601
30-39,Day,52005016355
30-39,Dark Street lights on,32005026974
30-39,Day,42005018008
30-39,Day,52005020109
30-39,Day,32005009423
30-39,Dark Street lights on,32005026610
30-39,Dusk/Dawn,42005029968
30-39,Day,32005011718
30-39,Day,32005038698
40-49,Dusk/Dawn,42005021699
40-49,Day,52005011771
40-49,Day,32005019385
40-49,Day,42005007855
40-49,Day,42005025084
40-49,Dusk/Dawn,32005035495
40-49,Day,52005012327
40-49,Day,42005015825
40-49,Dark Street lights on,42005019528
40-49,Day,52005021750
40-49,Dark Street lights on,42005001543
40-49,Day,32005027092
40-49,Day,52005036560
40-49,Day,42005024707
40-49,Dusk/Dawn,52005006657
50-59,Day,32005037343
50-59,Day,32005040777
50-59,Dusk/Dawn,32005005644
50-59,Dusk/Dawn,42005022129
50-59,Day,52005014457
50-59,Dark Street lights on,32005012810
50-59,Day,52005035990
50-59,Day,42005021053
50-59,Day,52005036959
60-64,Day,42005002587
64-69,Dusk/Dawn,52005020037
64-69,Dark No street lights,52005039920
50-59,Day,12005027583
50-59,Day,12005042900
50-59,Day,22005031265
50-59,Day,12005002900
50-59,Day,12005042906
50-59,Day,22005023577
50-59,Day,12005010289
50-59,Dusk/Dawn,12005016727
50-59,Day,22005009562
50-59,Day,12005012777
50-59,Day,12005011784
50-59,Day,12005018766
50-59,Day,22005037328
50-59,Day,22005032413
50-59,Dark Street lights on,12005028132
50-59,Dark Street lights on,22005012044
50-59,Day,22005003456
50-59,Dusk/Dawn,12005021193
50-59,Dark Street lights on,12005021963
50-59,Dusk/Dawn,12005012392
50-59,Dusk/Dawn,12005027195
50-59,Day,12005034670
50-59,Day,22005019759
50-59,Day,22005020999
50-59,Day,22005029584
50-59,Dark Street lights on,12005020035
50-59,Day,22005005954
50-59,Day,22005034494
50-59,Day,22005005758
50-59,Day,12005021759
50-59,Dusk/Dawn,12005004614
50-59,Day,12005041425
50-59,Dark Street lights on,22005006840
50-59,Day,22005002016
50-59,Day,22005033587
50-59,Day,12005024417
50-59,Day,12005031282
50-59,Day,22005027900
50-59,Day,12005019863
50-59,Day,12005003049
50-59,Day,12005030440
50-59,Day,12005016210
50-59,Day,12005013818
50-59,Day,12005032327
50-59,Day,12005011830
50-59,Day,12005025715
50-59,Day,22005005042
50-59,Dark Street lights on,22005002173
50-59,Day,12005003612
50-59,Day,22005004205
50-59,Day,12005023027
50-59,Dusk/Dawn,22005031671
50-59,Dark Street lights on,12005015712
50-59,Dark Street lights on,22005042302
50-59,Day,22005009117
50-59,Dark Street lights on,12005012394
50-59,Day,12005024802
50-59,Day,22005012400
50-59,Dark No street lights,22005027725
50-59,Day,22005038655
50-59,Day,12005010819
50-59,Day,12005032521
50-59,Day,12005036658
50-59,Day,12005032698
50-59,Dusk/Dawn,12005021567
50-59,Day,12005031999
50-59,Unknown,12005012181
50-59,Day,12005036767
50-59,Day,12005018393
50-59,Dusk/Dawn,12005017261
50-59,Day,12005002763
50-59,Day,22005041347
50-59,Day,12005024133
50-59,Day,22005029465
50-59,Dusk/Dawn,22005005431
50-59,Day,22005010459
50-59,Day,22005043198
50-59,Dusk/Dawn,22005029720
50-59,Day,12005015357
50-59,Day,22005010659
50-59,Day,12005028424
50-59,Day,22005039260
50-59,Dusk/Dawn,22005030103
50-59,Day,12005041657
50-59,Day,12005011576
50-59,Day,12005023930
50-59,Day,12005016596
50-59,Day,22005032384
50-59,Day,22005034820
50-59,Day,12005036888
50-59,Day,22005018623
50-59,Day,12005041428
50-59,Day,12005015153
50-59,Day,12005016571
50-59,Day,12005018760
50-59,Day,22005013557
50-59,Day,22005015725
50-59,Dusk/Dawn,22005038459
50-59,Day,12005018376
50-59,Dark Street lights on,12005024122
50-59,Dark Street lights on,12005017078
